id,PSCL_ID,Slope_l,Slope_h,Saturation,Shallow,Hardpan,Vertic,Histic,Drain,DrainNum
1,1,0,0.5,Any,Any,Any,Any,Yes,V,1
2,1,0,0.5,Yes,Any,Any,Any,No,P,2
3,1,0,0.5,No,Any,Any,Yes,No,P,2
4,1,0,0.5,No,Any,Yes,No,No,M,4
5,1,0,0.5,No,Yes,Any,No,No,M,4
6,1,0,0.5,No,No,No,No,No,W,5
7,1,0.5,2,Any,Any,Any,Any,Yes,V,1
8,1,0.5,2,Yes,Any,Any,Any,No,P,2
9,1,0.5,2,No,Any,Any,Yes,No,P,2
10,1,0.5,2,No,Any,Yes,No,No,M,4
11,1,0.5,2,No,Yes,Any,No,No,M,4
12,1,0.5,2,No,No,No,No,No,W,5
13,1,2,5,Any,Any,Any,Any,Yes,V,1
14,1,2,5,Yes,Any,Any,Any,No,P,2
15,1,2,5,No,Any,Any,Yes,No,I,3
16,1,2,5,No,Any,Yes,No,No,W,5
17,1,2,5,No,Yes,Any,No,No,M,4
18,1,2,5,No,No,No,No,No,S,6
19,1,5,10,Any,Any,Any,Any,Yes,V,1
20,1,5,10,Yes,Any,Any,Any,No,I,3
21,1,5,10,No,Any,Any,Yes,No,I,3
22,1,5,10,No,Any,Yes,No,No,W,5
23,1,5,10,No,Yes,Any,No,No,M,4
24,1,5,10,No,No,No,No,No,S,6
25,1,10,15,Any,Any,Any,Any,Yes,V,1
26,1,10,15,Yes,Any,Any,Any,No,I,3
27,1,10,15,No,Any,Any,Yes,No,I,3
28,1,10,15,No,Any,Yes,No,No,W,5
29,1,10,15,No,Yes,Any,No,No,W,5
30,1,10,15,No,No,No,No,No,S,6
31,1,15,30,Any,Any,Any,Any,Yes,V,1
32,1,15,30,Yes,Any,Any,Any,No,I,3
33,1,15,30,No,Any,Any,Yes,No,I,3
34,1,15,30,No,Any,Yes,No,No,S,6
35,1,15,30,No,Yes,Any,No,No,W,5
36,1,15,30,No,No,No,No,No,S,6
37,1,30,45,Any,Any,Any,Any,Yes,V,1
38,1,30,45,Yes,Any,Any,Any,No,I,3
39,1,30,45,No,Any,Any,Yes,No,I,3
40,1,30,45,No,Any,Yes,No,No,S,6
41,1,30,45,No,Yes,Any,No,No,S,6
42,1,30,45,No,No,No,No,No,E,7
43,1,45,100,Any,Any,Any,Any,Yes,V,1
44,1,45,100,Yes,Any,Any,Any,No,I,3
45,1,45,100,No,Any,Any,Yes,No,I,3
46,1,45,100,No,Any,Yes,No,No,E,7
47,1,45,100,No,Yes,Any,No,No,S,6
48,1,45,100,No,No,No,No,No,E,7
49,2,0,0.5,Any,Any,Any,Any,Yes,V,1
50,2,0,0.5,Yes,Any,Any,Any,No,P,2
51,2,0,0.5,No,Any,Any,Yes,No,P,2
52,2,0,0.5,No,Any,Yes,No,No,I,3
53,2,0,0.5,No,Yes,Any,No,No,I,3
54,2,0,0.5,No,No,No,No,No,M,4
55,2,0.5,2,Any,Any,Any,Any,Yes,V,1
56,2,0.5,2,Yes,Any,Any,Any,No,P,2
57,2,0.5,2,No,Any,Any,Yes,No,P,2
58,2,0.5,2,No,Any,Yes,No,No,I,3
59,2,0.5,2,No,Yes,Any,No,No,I,3
60,2,0.5,2,No,No,No,No,No,M,4
61,2,2,5,Any,Any,Any,Any,Yes,V,1
62,2,2,5,Yes,Any,Any,Any,No,P,2
63,2,2,5,No,Any,Any,Yes,No,P,2
64,2,2,5,No,Any,Yes,No,No,M,4
65,2,2,5,No,Yes,Any,No,No,I,3
66,2,2,5,No,No,No,No,No,M,4
67,2,5,10,Any,Any,Any,Any,Yes,V,1
68,2,5,10,Yes,Any,Any,Any,No,P,2
69,2,5,10,No,Any,Any,Yes,No,I,3
70,2,5,10,No,Any,Yes,No,No,M,4
71,2,5,10,No,Yes,Any,No,No,I,3
72,2,5,10,No,No,No,No,No,M,4
73,2,10,15,Any,Any,Any,Any,Yes,V,1
74,2,10,15,Yes,Any,Any,Any,No,I,3
75,2,10,15,No,Any,Any,Yes,No,I,3
76,2,10,15,No,Any,Yes,No,No,W,5
77,2,10,15,No,Yes,Any,No,No,W,5
78,2,10,15,No,No,No,No,No,W,5
79,2,15,30,Any,Any,Any,Any,Yes,V,1
80,2,15,30,Yes,Any,Any,Any,No,I,3
81,2,15,30,No,Any,Any,Yes,No,I,3
82,2,15,30,No,Any,Yes,No,No,W,5
83,2,15,30,No,Yes,Any,No,No,W,5
84,2,15,30,No,No,No,No,No,S,6
85,2,30,45,Any,Any,Any,Any,Yes,V,1
86,2,30,45,Yes,Any,Any,Any,No,I,3
87,2,30,45,No,Any,Any,Yes,No,I,3
88,2,30,45,No,Any,Yes,No,No,S,6
89,2,30,45,No,Yes,Any,No,No,S,6
90,2,30,45,No,No,No,No,No,S,6
91,2,45,100,Any,Any,Any,Any,Yes,V,1
92,2,45,100,Yes,Any,Any,Any,No,I,3
93,2,45,100,No,Any,Any,Yes,No,I,3
94,2,45,100,No,Any,Yes,No,No,S,6
95,2,45,100,No,Yes,Any,No,No,S,6
96,2,45,100,No,No,No,No,No,S,6
97,3,0,0.5,Any,Any,Any,Any,Yes,V,1
98,3,0,0.5,Yes,Any,Any,Any,No,P,2
99,3,0,0.5,No,Any,Any,Yes,No,P,2
100,3,0,0.5,No,Any,Yes,No,No,I,3
101,3,0,0.5,No,Yes,Any,No,No,I,3
102,3,0,0.5,No,No,No,No,No,M,4
103,3,0.5,2,Any,Any,Any,Any,Yes,V,1
104,3,0.5,2,Yes,Any,Any,Any,No,P,2
105,3,0.5,2,No,Any,Any,Yes,No,P,2
106,3,0.5,2,No,Any,Yes,No,No,I,3
107,3,0.5,2,No,Yes,Any,No,No,I,3
108,3,0.5,2,No,No,No,No,No,M,4
109,3,2,5,Any,Any,Any,Any,Yes,V,1
110,3,2,5,Yes,Any,Any,Any,No,P,2
111,3,2,5,No,Any,Any,Yes,No,P,2
112,3,2,5,No,Any,Yes,No,No,I,3
113,3,2,5,No,Yes,Any,No,No,I,3
114,3,2,5,No,No,No,No,No,M,4
115,3,5,10,Any,Any,Any,Any,Yes,V,1
116,3,5,10,Yes,Any,Any,Any,No,P,2
117,3,5,10,No,Any,Any,Yes,No,P,2
118,3,5,10,No,Any,Yes,No,No,M,4
119,3,5,10,No,Yes,Any,No,No,I,3
120,3,5,10,No,No,No,No,No,M,4
121,3,10,15,Any,Any,Any,Any,Yes,V,1
122,3,10,15,Yes,Any,Any,Any,No,P,2
123,3,10,15,No,Any,Any,Yes,No,I,3
124,3,10,15,No,Any,Yes,No,No,M,4
125,3,10,15,No,Yes,Any,No,No,W,5
126,3,10,15,No,No,No,No,No,W,5
127,3,15,30,Any,Any,Any,Any,Yes,V,1
128,3,15,30,Yes,Any,Any,Any,No,I,3
129,3,15,30,No,Any,Any,Yes,No,I,3
130,3,15,30,No,Any,Yes,No,No,W,5
131,3,15,30,No,Yes,Any,No,No,W,5
132,3,15,30,No,No,No,No,No,W,5
133,3,30,45,Any,Any,Any,Any,Yes,V,1
134,3,30,45,Yes,Any,Any,Any,No,I,3
135,3,30,45,No,Any,Any,Yes,No,I,3
136,3,30,45,No,Any,Yes,No,No,W,5
137,3,30,45,No,Yes,Any,No,No,S,6
138,3,30,45,No,No,No,No,No,S,6
139,3,45,100,Any,Any,Any,Any,Yes,V,1
140,3,45,100,Yes,Any,Any,Any,No,I,3
141,3,45,100,No,Any,Any,Yes,No,I,3
142,3,45,100,No,Any,Yes,No,No,S,6
143,3,45,100,No,Yes,Any,No,No,S,6
144,3,45,100,No,No,No,No,No,S,6
